Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,23077,4749,718
Maharashtra,6430,840,283
Gujarat,2624,258,112
Delhi,2376,808,50
Rajasthan,1964,230,27
Madhya Pradesh,1699,203,83
Tamil Nadu,1683,752,20
Uttar Pradesh,1510,206,24
Telengana,960,197,24
Andhra Pradesh,895,141,27
West Bengal,514,103,15
Kerala,447,324,3
Karnataka,445,145,17
Jammu and Kashmir,427,92,5
Punjab,277,65,16
Haryana,272,156,3
Bihar,153,46,2
Odisha,90,33,1
Jharkhand,53,8,3
Uttarakhand,47,24,0
Himachal Pradesh,40,18,1
Chhattisgarh,36,28,0
Assam,36,19,1
Chandigarh,27,14,0
Andaman and Nicobar Islands,22,11,0
Ladakh,18,14,0
Meghalaya,12,0,1
Puducherry,7,3,0
Goa,7,7,0
Tripura,2,1,0
Manipur,2,2,0
Mizoram,1,0,0
Arunachal Pradesh,1,1,0
