Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,348,6,4
Andaman and Nicobar Islands,11,0,0
Arunachal Pradesh,1,0,0
Assam,28,0,0
Bihar,39,0,1
Chandigarh,18,7,0
Chhattisgarh,10,9,0
Delhi,669,21,9
Goa,7,0,0
Gujarat,179,25,16
Haryana,169,29,3
Himachal Pradesh,18,2,1
Jammu and Kashmir,158,4,4
Jharkhand,13,0,0
Karnataka,181,28,5
Kerala,345,83,2
Ladakh,14,10,0
Madhya Pradesh,259,0,16
Maharashtra,1135,117,72
Manipur,2,1,0
Mizoram,1,0,0
Odisha,42,2,1
Puducherry,5,1,0
Punjab,101,4,8
Rajasthan,383,21,3
Tamil Nadu,738,21,8
Telengana,442,35,7
Tripura,1,0,0
Uttarakhand,35,5,0
Uttar Pradesh,410,31,4
West Bengal,103,16,5
Total,5865,478,169
