Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,7,0,0
Bihar,2,0,1
Chhattisgarh,1,0,0
Delhi,29,5,1
Gujarat,29,0,1
Haryana,26,11,0
Himachal Pradesh,3,0,1
Karnataka,33,2,1
Kerala,67,3,0
Madhya Pradesh,6,0,0
Maharashtra,74,0,2
Odisha,2,0,0
Puducherry,1,0,0
Punjab,21,0,1
Rajasthan,28,3,0
Tamil Nadu,9,1,0
Telengana,32,1,0
Chandigarh,6,0,0
Jammu and Kashmir,4,0,0
Ladakh,13,0,0
Uttar Pradesh,31,9,0
Uttarakhand,3,0,0
West Bengal,7,0,1
Total number of confirmed cases in India,434,35,9
