Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death
Andhra Pradesh,3,0,0,0
Chhattisgarh,1,0,0,0
Delhi,25,1,5,1
Gujarat,7,0,0,0
Haryana,3,14,0,0
Himachal Pradesh,2,0,0,0
Karnataka,15,0,1,1
Kerala,33,7,3,0
Madhya Pradesh,4,0,0,0
Maharashtra,60,3,0,1
Odisha,2,0,0,0
Puducherry,1,0,0,0
Punjab,13,0,0,1
Rajasthan,15,2,3,0
Tamil Nadu,3,0,1,0
Telengana,10,11,1,0
Chandigarh,1,0,0,0
Jammu and Kashmir,4,0,0,0
Ladakh,13,0,0,0
Uttar Pradesh,23,1,9,0
Uttarakhand,3,0,0,0
West Bengal,3,0,0,0
Total number of confirmed cases in India,244,39,23,4
