Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,40,1,0
Andaman and Nicobar Islands,10,0,0
Bihar,15,0,1
Chandigarh,13,0,0
Chhattisgarh,8,0,0
Delhi,97,6,2
Goa,5,0,0
Gujarat,73,3,6
Haryana,40,21,0
Himachal Pradesh,3,0,1
Jammu and Kashmir,54,2,2
Karnataka,83,5,3
Kerala,234,19,1
Ladakh,13,3,0
Madhya Pradesh,47,0,3
Maharashtra,216,39,9
Manipur,1,0,0
Mizoram,1,0,0
Odisha,3,0,0
Puducherry,1,0,0
Punjab,41,1,3
Rajasthan,74,3,0
Tamil Nadu,74,4,1
Telengana,79,1,1
Uttarakhand,7,2,0
Uttar Pradesh,101,14,0
West Bengal,26,0,2
Total,1397,124,35
