Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,83,1,0
Andaman and Nicobar Islands,10,0,0
Bihar,23,0,1
Chandigarh,13,0,0
Chhattisgarh,9,0,0
Delhi,120,6,2
Goa,5,0,0
Gujarat,74,5,6
Haryana,43,21,0
Himachal Pradesh,3,0,1
Jammu and Kashmir,55,2,2
Karnataka,101,8,3
Kerala,241,23,2
Ladakh,13,3,0
Madhya Pradesh,47,0,3
Maharashtra,302,39,9
Manipur,1,0,0
Mizoram,1,0,0
Odisha,4,0,0
Puducherry,1,0,0
Punjab,41,1,3
Rajasthan,93,3,0
Tamil Nadu,124,4,1
Telengana,94,1,3
Uttarakhand,7,2,0
Uttar Pradesh,103,14,0
West Bengal,26,0,2
Total number of confirmed cases in India,1637,133,38
