Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,20471,3960,652
Maharashtra,5221,722,251
Gujarat,2272,144,95
Delhi,2156,611,47
Rajasthan,1801,230,25
Tamil Nadu,1596,635,18
Madhya Pradesh,1592,148,80
Uttar Pradesh,1412,165,21
Telengana,945,194,23
Andhra Pradesh,813,120,24
Kerala,427,323,3
Karnataka,425,129,17
West Bengal,423,73,15
Jammu and Kashmir,380,81,5
Haryana,254,127,3
Punjab,251,49,16
Bihar,126,46,2
Odisha,82,30,1
Uttarakhand,46,19,0
Jharkhand#,45,0,3
Himachal Pradesh,39,16,1
Chhattisgarh,36,26,0
Assam,35,19,1
Chandigarh,27,14,0
Ladakh,18,14,0
Andaman and Nicobar Islands,17,11,0
Meghalaya,12,0,1
Puducherry,7,3,0
Goa,7,7,0
Tripura,2,1,0
Manipur,2,2,0
Mizoram,1,0,0
Arunachal Pradesh,1,1,0
