Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,348,6,4
Andaman and Nicobar Islands,11,0,0
Arunachal Pradesh,1,0,0
Assam,29,0,0
Bihar,39,0,1
Chandigarh,18,7,0
Chhattisgarh,10,9,0
Delhi,720,25,12
Goa,7,0,0
Gujarat,241,26,17
Haryana,169,29,3
Himachal Pradesh,18,2,1
Jammu and Kashmir,158,4,4
Jharkhand,13,0,1
Karnataka,181,28,5
Kerala,357,96,2
Ladakh,15,10,0
Madhya Pradesh,259,0,16
Maharashtra,1364,125,97
Manipur,2,1,0
Mizoram,1,0,0
Odisha,44,2,1
Puducherry,5,1,0
Punjab,101,4,8
Rajasthan,463,21,3
Tamil Nadu,834,21,8
Telengana,442,35,7
Tripura,1,0,0
Uttarakhand,35,5,0
Uttar Pradesh,410,31,4
West Bengal,116,16,5
Total,6412,504,199
