Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death
Andhra Pradesh,9,0,1,0
Bihar,4,0,0,1
Chhattisgarh,1,0,0,0
Delhi,30,1,6,1
Gujarat,37,1,0,1
Haryana,14,14,11,0
Himachal Pradesh,3,0,0,1
Karnataka,41,0,3,1
Kerala,101,8,4,0
Madhya Pradesh,14,0,0,0
Maharashtra,125,3,1,3
Manipur,1,0,0,0
Mizoram,1,0,0,0
Odisha,2,0,0,0
Puducherry,1,0,0,0
Punjab,29,0,0,1
Rajasthan,34,2,3,0
Tamil Nadu,16,2,1,0
Telengana,25,10,1,0
Chandigarh,7,0,0,0
Jammu and Kashmir,7,0,1,0
Ladakh,13,0,0,0
Uttar Pradesh,36,1,11,0
Uttarakhand,3,1,0,0
West Bengal,9,0,0,1
Total number of confirmed cases in India,563,43,43,10
