Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,190,1,1
Andaman and Nicobar Islands,10,0,0
Arunachal Pradesh,1,0,0
Assam,26,0,0
Bihar,30,0,1
Chandigarh,18,0,0
Chhattisgarh,9,3,0
Delhi,503,18,7
Goa,7,0,0
Gujarat,122,18,11
Haryana,59,25,1
Himachal Pradesh,6,1,1
Jammu and Kashmir,106,4,2
Jharkhand,3,0,0
Karnataka,144,12,4
Kerala,306,49,2
Ladakh,14,10,0
Madhya Pradesh,165,0,9
Maharashtra,490,42,24
Manipur,2,0,0
Mizoram,1,0,0
Odisha,20,0,0
Puducherry,5,1,0
Punjab,57,1,5
Rajasthan,200,21,0
Tamil Nadu,485,6,3
Telengana,269,32,7
Uttarakhand,22,2,0
Uttar Pradesh,227,19,2
West Bengal,80,10,3
Total,3577,275,83
