Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,24506,5063,775
Maharashtra,6817,840,301
Gujarat,2815,265,127
Delhi,2514,857,53
Rajasthan,2034,230,27
Madhya Pradesh,1852,210,92
Tamil Nadu,1755,866,22
Uttar Pradesh,1621,247,25
Telengana,984,253,26
Andhra Pradesh,955,145,29
West Bengal,571,103,18
Karnataka,474,152,18
Jammu and Kashmir,454,109,5
Kerala,450,331,3
Punjab,298,67,17
Haryana,272,156,3
Bihar,223,46,2
Odisha,94,33,1
Jharkhand,57,8,3
Uttarakhand,48,25,0
Himachal Pradesh,40,18,1
Chhattisgarh,36,30,0
Assam,36,19,1
Andaman and Nicobar Islands,27,11,0
Chandigarh,27,14,0
Ladakh,20,14,0
Meghalaya,12,0,1
Puducherry,7,3,0
Goa,7,7,0
Manipur,2,2,0
Tripura,2,1,0
Mizoram,1,0,0
Arunachal Pradesh,1,1,0
