Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,21393,4258,681
Maharashtra,5652,789,269
Gujarat,2407,179,103
Delhi,2248,724,48
Rajasthan,1890,230,27
Tamil Nadu,1629,662,18
Madhya Pradesh,1592,148,80
Uttar Pradesh,1449,173,21
Telengana,945,194,23
Andhra Pradesh,813,120,24
West Bengal,456,79,15
Kerala,438,323,3
Karnataka,427,131,17
Jammu and Kashmir,407,92,5
Haryana,262,140,3
Punjab,251,49,16
Bihar,143,46,2
Odisha,83,32,1
Jharkhand,49,8,3
Uttarakhand,46,23,0
Himachal Pradesh,40,18,1
Chhattisgarh,36,26,0
Assam,35,19,1
Chandigarh,27,14,0
Andaman and Nicobar Islands,18,11,0
Ladakh,18,14,0
Meghalaya,12,0,1
Puducherry,7,3,0
Goa,7,7,0
Tripura,2,1,0
Manipur,2,2,0
Mizoram,1,0,0
Arunachal Pradesh,1,1,0
