Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,132,1,1
Andaman and Nicobar Islands,10,0,0
Arunachal Pradesh,1,0,0
Assam,16,0,0
Bihar,29,0,1
Chandigarh,18,0,0
Chhattisgarh,9,3,0
Delhi,219,8,4
Goa,6,0,0
Gujarat,95,10,8
Haryana,49,24,0
Himachal Pradesh,6,1,1
Jammu and Kashmir,75,3,2
Jharkhand,2,0,0
Karnataka,124,10,3
Kerala,286,27,2
Ladakh,14,3,0
Madhya Pradesh,104,0,6
Maharashtra,335,42,16
Manipur,2,0,0
Mizoram,1,0,0
Odisha,5,0,0
Puducherry,5,1,0
Punjab,48,1,5
Rajasthan,167,3,0
Tamil Nadu,309,6,1
Telengana,158,1,7
Uttarakhand,10,2,0
Uttar Pradesh,172,14,2
West Bengal,63,3,3
Total,2547,163,62
