Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total number of confirmed cases in India,9152,857,308
Maharashtra,1985,217,149
Delhi,1154,27,24
Tamil Nadu,1043,50,11
Rajasthan,804,21,3
Madhya Pradesh,564,0,36
Gujarat,516,44,25
Telengana,504,43,9
Uttar Pradesh,483,46,5
Andhra Pradesh,427,11,7
Kerala,376,179,2
Jammu and Kashmir,245,6,4
Karnataka,232,57,6
Haryana,185,29,3
West Bengal,152,29,7
Punjab,151,5,11
Bihar,64,19,1
Odisha,54,12,1
Uttarakhand,35,5,0
Himachal Pradesh,32,13,1
Chhattisgarh,31,10,0
Assam,29,0,1
Chandigarh,21,7,0
Jharkhand,19,0,2
Ladakh,15,10,0
Andaman and Nicobar Islands,11,10,0
Puducherry,7,1,0
Goa,7,5,0
Manipur,2,1,0
Tripura,2,0,0
Mizoram,1,0,0
Arunachal Pradesh,1,0,0
