Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,31787,7797,1008
Maharashtra,9318,1388,400
Gujarat,3774,434,181
Delhi,3314,1078,54
Madhya Pradesh,2561,377,119
Rajasthan,2364,768,51
Uttar Pradesh,2115,477,36
Tamil Nadu,2058,1168,25
Andhra Pradesh,1332,287,31
Telengana,1012,367,26
West Bengal,725,119,22
Jammu and Kashmir,565,176,8
Karnataka,532,215,20
Kerala,486,359,4
Bihar,383,64,2
Punjab,322,71,19
Haryana,310,209,3
Odisha,119,38,1
Jharkhand,105,19,3
Chandigarh,56,17,0
Uttarakhand,54,34,0
Himachal Pradesh,40,25,1
Assam,38,27,1
Chhattisgarh,38,34,0
Andaman and Nicobar Islands,33,15,0
Ladakh,22,16,0
Meghalaya,12,0,1
Puducherry,8,3,0
Goa,7,7,0
Tripura,2,2,0
Manipur,2,2,0
Mizoram,1,0,0
Arunachal Pradesh,1,1,0
