Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death
Andaman and Nicobar Islands,1,0,0,0
Andhra Pradesh,12,0,1,0
Bihar,6,0,0,1
Chandigarh,7,0,0,0
Chhattisgarh,6,0,0,0
Delhi,35,1,6,1
Goa,3,0,0,0
Gujarat,42,1,0,3
Haryana,16,14,11,0
Himachal Pradesh,3,0,0,1
Jammu and Kashmir,13,0,1,1
Karnataka,55,0,3,2
Kerala,129,8,11,0
Ladakh,13,0,3,0
Madhya Pradesh,20,0,0,1
Maharashtra,127,3,15,4
Manipur,1,0,0,0
Mizoram,1,0,0,0
Odisha,2,0,0,0
Puducherry,1,0,0,0
Punjab,33,0,0,1
Rajasthan,39,2,3,0
Tamil Nadu,23,6,1,1
Telengana,35,10,1,0
Uttarakhand,4,1,0,0
Uttar Pradesh,40,1,11,0
West Bengal,10,0,0,1
Total number of confirmed cases in India,677,47,67,17
