Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andaman and Nicobar Islands,1,0,0
Andhra Pradesh,12,1,0
Bihar,6,0,1
Chandigarh,7,0,0
Chhattisgarh,6,0,0
Delhi,36,6,1
Goa,3,0,0
Gujarat,43,0,3
Haryana,30,11,0
Himachal Pradesh,3,0,1
Jammu and Kashmir,13,1,1
Karnataka,55,3,2
Kerala,137,11,0
Ladakh,13,3,0
Madhya Pradesh,20,0,1
Maharashtra,130,15,4
Manipur,1,0,0
Mizoram,1,0,0
Odisha,2,0,0
Puducherry,1,0,0
Punjab,33,0,1
Rajasthan,41,3,0
Tamil Nadu,29,1,1
Telengana,45,1,0
Uttarakhand,5,0,0
Uttar Pradesh,41,11,0
West Bengal,10,0,1
Total,724,67,17
