Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,86,1,1
Andaman and Nicobar Islands,10,0,0
Assam,1,0,0
Bihar,23,0,1
Chandigarh,16,0,0
Chhattisgarh,9,2,0
Delhi,152,6,2
Goa,5,0,0
Gujarat,82,5,6
Haryana,43,21,0
Himachal Pradesh,3,1,1
Jammu and Kashmir,62,2,2
Jharkhand,1,0,0
Karnataka,110,9,3
Kerala,265,25,2
Ladakh,13,3,0
Madhya Pradesh,99,0,6
Maharashtra,335,42,13
Manipur,1,0,0
Mizoram,1,0,0
Odisha,4,0,0
Puducherry,3,1,0
Punjab,46,1,4
Rajasthan,108,3,0
Tamil Nadu,234,6,1
Telengana,96,1,3
Uttarakhand,7,2,0
Uttar Pradesh,113,14,2
West Bengal,37,6,3
Total number of confirmed cases in India,1965,151,50
