Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,305,5,4
Andaman and Nicobar Islands,10,0,0
Arunachal Pradesh,1,0,0
Assam,27,0,0
Bihar,38,0,1
Chandigarh,18,7,0
Chhattisgarh,10,9,0
Delhi,576,21,9
Goa,7,0,0
Gujarat,165,25,13
Haryana,147,28,3
Himachal Pradesh,18,2,1
Jammu and Kashmir,116,4,2
Jharkhand,4,0,0
Karnataka,175,25,4
Kerala,336,70,2
Ladakh,14,10,0
Madhya Pradesh,229,0,13
Maharashtra,1018,79,64
Manipur,2,0,0
Mizoram,1,0,0
Odisha,42,2,1
Puducherry,5,1,0
Punjab,91,4,7
Rajasthan,328,21,3
Tamil Nadu,690,19,7
Telengana,427,35,7
Tripura,1,0,0
Uttarakhand,31,5,0
Uttar Pradesh,343,26,3
West Bengal,99,13,5
Total,5274,411,149
