Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,724,67,17
Kerala,137,11,0
Maharashtra,130,15,4
Karnataka,55,3,2
Telengana,45,1,0
Gujarat,43,0,3
Uttar Pradesh,41,11,0
Rajasthan,41,3,0
Delhi,36,6,1
Punjab,33,0,1
Haryana,30,11,0
Tamil Nadu,29,1,1
Madhya Pradesh,20,0,1
Jammu and Kashmir,13,1,1
Ladakh,13,3,0
Andhra Pradesh,12,1,0
West Bengal,10,0,1
Chandigarh,7,0,0
Chhattisgarh,6,0,0
Bihar,6,0,1
Uttarakhand,5,0,0
Himachal Pradesh,3,0,1
Goa,3,0,0
Odisha,2,0,0
Puducherry,1,0,0
Manipur,1,0,0
Mizoram,1,0,0
Andaman and Nicobar Islands,1,0,0
