Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,1251,102,32
Kerala,202,19,1
Maharashtra,198,25,8
Delhi,87,6,2
Karnataka,83,5,3
Uttar Pradesh,82,11,0
Telengana,71,1,1
Gujarat,69,1,6
Tamil Nadu,67,4,1
Rajasthan,59,3,0
Jammu and Kashmir,48,2,2
Madhya Pradesh,47,0,3
Punjab,38,1,1
Haryana,36,18,0
Andhra Pradesh,23,1,0
West Bengal,22,0,2
Bihar,15,0,1
Ladakh,13,3,0
Andaman and Nicobar Islands,9,0,0
Chandigarh,8,0,0
Uttarakhand,7,2,0
Chhattisgarh,7,0,0
Goa,5,0,0
Himachal Pradesh,3,0,1
Odisha,3,0,0
Mizoram,1,0,0
Manipur,1,0,0
Puducherry,1,0,0
