Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,606,43,10
Maharashtra,128,1,3
Kerala,109,4,0
Karnataka,41,3,1
Gujarat,38,0,1
Uttar Pradesh,37,11,0
Rajasthan,36,3,0
Telengana,35,1,0
Delhi,31,6,1
Punjab,29,0,1
Haryana,28,11,0
Tamil Nadu,18,1,0
Madhya Pradesh,14,0,0
Ladakh,13,0,0
Andhra Pradesh,9,1,0
West Bengal,9,0,1
Chandigarh,7,0,0
Jammu and Kashmir,7,1,0
Uttarakhand,4,0,0
Bihar,4,0,1
Himachal Pradesh,3,0,1
Odisha,2,0,0
Chhattisgarh,1,0,0
Manipur,1,0,0
Puducherry,1,0,0
Mizoram,1,0,0
