Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,2902,184,68
Maharashtra,423,42,19
Tamil Nadu,411,6,1
Delhi,386,8,6
Kerala,295,41,2
Rajasthan,179,3,0
Uttar Pradesh,174,19,2
Andhra Pradesh,161,1,1
Telengana,158,1,7
Karnataka,128,12,3
Madhya Pradesh,104,0,6
Gujarat,95,10,9
Jammu and Kashmir,75,3,2
West Bengal,63,3,3
Punjab,53,1,5
Haryana,49,24,0
Bihar,29,0,1
Assam,24,0,0
Chandigarh,18,0,0
Uttarakhand,16,2,0
Ladakh,14,3,0
Andaman and Nicobar Islands,10,0,0
Chhattisgarh,9,3,0
Himachal Pradesh,6,1,1
Goa,6,0,0
Puducherry,5,1,0
Odisha,5,0,0
Jharkhand,2,0,0
Manipur,2,0,0
Mizoram,1,0,0
Arunachal Pradesh,1,0,0
