Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,10815,1190,353
Maharashtra,2337,229,160
Delhi,1510,30,28
Tamil Nadu,1173,58,11
Rajasthan,879,133,3
Madhya Pradesh,730,51,50
Uttar Pradesh,657,49,5
Telengana,624,100,17
Gujarat,617,55,26
Andhra Pradesh,473,14,9
Kerala,379,198,3
Jammu and Kashmir,270,16,4
Karnataka,258,65,9
Haryana,199,34,3
West Bengal,190,36,7
Punjab,176,14,12
Bihar,66,26,1
Odisha,55,18,1
Uttarakhand,35,7,0
Himachal Pradesh,32,13,1
Assam,31,0,1
Chhattisgarh,31,10,0
Jharkhand,24,0,2
Chandigarh,21,7,0
Ladakh,15,10,0
Andaman and Nicobar Islands,11,10,0
Puducherry,7,1,0
Goa,7,5,0
Manipur,2,1,0
Tripura,2,0,0
Arunachal Pradesh,1,0,0
Nagaland,1,0,0
Mizoram,1,0,0
Meghalaya,1,0,0
