Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,4067,292,109
Maharashtra,690,42,45
Tamil Nadu,571,8,5
Delhi,503,18,7
Telengana,321,34,7
Kerala,314,55,2
Rajasthan,253,21,0
Uttar Pradesh,227,19,2
Andhra Pradesh,226,1,3
Madhya Pradesh,165,0,9
Karnataka,151,12,4
Gujarat,122,18,11
Jammu and Kashmir,106,4,2
Haryana,84,25,1
West Bengal,80,10,3
Punjab,68,4,6
Bihar,30,0,1
Uttarakhand,26,4,0
Assam,26,0,0
Odisha,21,2,0
Chandigarh,18,0,0
Ladakh,14,10,0
Himachal Pradesh,13,1,1
Andaman and Nicobar Islands,10,0,0
Chhattisgarh,9,3,0
Goa,7,0,0
Puducherry,5,1,0
Jharkhand,3,0,0
Manipur,2,0,0
Mizoram,1,0,0
Arunachal Pradesh,1,0,0
