Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,21700,4325,686
Maharashtra,5652,789,269
Gujarat,2407,179,103
Delhi,2248,724,48
Rajasthan,1890,230,27
Madhya Pradesh,1695,148,81
Tamil Nadu,1629,662,18
Uttar Pradesh,1509,187,21
Telengana,960,197,24
Andhra Pradesh,895,141,27
West Bengal,456,79,15
Karnataka,443,141,17
Kerala,438,324,3
Jammu and Kashmir,407,92,5
Punjab,277,65,16
Haryana,262,140,3
Bihar,148,46,2
Odisha,83,32,1
Jharkhand,49,8,3
Uttarakhand,46,23,0
Himachal Pradesh,40,18,1
Chhattisgarh,36,28,0
Assam,35,19,1
Chandigarh,27,14,0
Andaman and Nicobar Islands,18,11,0
Ladakh,18,14,0
Meghalaya,12,0,1
Puducherry,7,3,0
Goa,7,7,0
Tripura,2,1,0
Manipur,2,2,0
Mizoram,1,0,0
Arunachal Pradesh,1,1,0
