Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,1834,144,41
Maharashtra,302,39,9
Kerala,241,23,2
Tamil Nadu,234,6,1
Delhi,152,6,2
Uttar Pradesh,103,14,2
Karnataka,101,8,3
Telengana,96,1,3
Rajasthan,93,3,0
Andhra Pradesh,83,0,0
Gujarat,82,5,6
Madhya Pradesh,66,0,3
Jammu and Kashmir,62,2,2
Haryana,43,21,0
Punjab,42,1,3
West Bengal,37,6,3
Bihar,23,0,1
Chandigarh,16,0,0
Ladakh,13,3,0
Andaman and Nicobar Islands,10,1,0
Chhattisgarh,9,2,0
Uttarakhand,7,2,0
Goa,5,0,0
Odisha,4,0,0
Himachal Pradesh,3,0,1
Puducherry,3,1,0
Assam,1,0,0
Manipur,1,0,0
Jharkhand,1,0,0
Mizoram,1,0,0
