Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,4789,353,124
Maharashtra,868,56,48
Tamil Nadu,621,8,5
Delhi,576,21,7
Telengana,364,35,7
Kerala,327,58,2
Uttar Pradesh,305,21,3
Rajasthan,288,21,3
Andhra Pradesh,266,1,3
Madhya Pradesh,229,0,13
Karnataka,175,25,4
Gujarat,165,25,13
Jammu and Kashmir,116,4,2
Punjab,91,4,7
West Bengal,91,13,3
Haryana,90,25,1
Odisha,42,2,1
Bihar,32,0,1
Uttarakhand,31,5,0
Assam,26,0,0
Chandigarh,18,7,0
Ladakh,14,10,0
Himachal Pradesh,13,2,1
Andaman and Nicobar Islands,10,0,0
Chhattisgarh,10,9,0
Goa,7,0,0
Puducherry,5,1,0
Jharkhand,4,0,0
Manipur,2,0,0
Mizoram,1,0,0
Arunachal Pradesh,1,0,0
Tripura,1,0,0
