Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,9352,980,324
Maharashtra,1985,217,149
Delhi,1154,27,24
Tamil Nadu,1075,50,11
Rajasthan,812,21,3
Madhya Pradesh,604,44,43
Telengana,562,100,16
Gujarat,539,47,26
Uttar Pradesh,483,47,5
Andhra Pradesh,432,11,7
Kerala,376,179,3
Karnataka,247,59,6
Jammu and Kashmir,245,6,4
Haryana,185,29,3
Punjab,167,14,11
West Bengal,152,29,7
Bihar,64,26,1
Odisha,54,12,1
Uttarakhand,35,5,0
Himachal Pradesh,32,13,1
Chhattisgarh,31,10,0
Assam,31,0,1
Chandigarh,21,7,0
Jharkhand,19,0,2
Ladakh,15,10,0
Andaman and Nicobar Islands,11,10,0
Puducherry,7,1,0
Goa,7,5,0
Manipur,2,1,0
Tripura,2,0,0
Mizoram,1,0,0
Arunachal Pradesh,1,0,0
Nagaland,1,0,0
