Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,14378,1992,480
Maharashtra,3323,331,201
Delhi,1707,72,42
Tamil Nadu,1323,283,15
Madhya Pradesh,1310,69,69
Rajasthan,1229,183,11
Gujarat,1099,86,41
Uttar Pradesh,849,82,14
Telengana,766,186,18
Andhra Pradesh,572,36,14
Kerala,396,255,3
Karnataka,359,89,13
Jammu and Kashmir,328,42,5
West Bengal,287,55,10
Haryana,225,43,3
Punjab,202,27,13
Bihar,83,37,2
Odisha,60,19,1
Uttarakhand,40,9,0
Himachal Pradesh,36,16,1
Chhattisgarh,36,24,0
Assam,35,5,1
Jharkhand,33,0,2
Chandigarh,21,9,0
Ladakh,18,14,0
Andaman and Nicobar Islands,12,11,0
Meghalaya,9,0,1
Puducherry,7,1,0
Goa,7,6,0
Tripura,2,1,0
Manipur,2,1,0
Arunachal Pradesh,1,0,0
Mizoram,1,0,0
Nagaland#,0,0,0
