Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,1024,96,27
Maharashtra,186,25,6
Kerala,182,15,1
Karnataka,76,5,3
Telengana,66,1,1
Uttar Pradesh,65,11,0
Gujarat,58,1,5
Rajasthan,55,3,0
Delhi,49,6,2
Tamil Nadu,49,4,1
Punjab,38,1,1
Haryana,33,17,0
Jammu and Kashmir,31,1,2
Madhya Pradesh,30,0,2
Andhra Pradesh,19,1,0
West Bengal,18,0,1
Ladakh,13,3,0
Bihar,11,0,1
Andaman and Nicobar Islands,9,0,0
Chandigarh,8,0,0
Uttarakhand,7,2,0
Chhattisgarh,7,0,0
Goa,5,0,0
Himachal Pradesh,3,0,1
Odisha,3,0,0
Mizoram,1,0,0
Manipur,1,0,0
Puducherry,1,0,0
