Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,11439,1306,377
Maharashtra,2687,259,178
Delhi,1561,30,30
Tamil Nadu,1204,81,12
Rajasthan,969,147,3
Madhya Pradesh,730,51,50
Uttar Pradesh,660,50,5
Gujarat,650,59,28
Telengana,624,100,17
Andhra Pradesh,483,16,9
Kerala,387,211,3
Jammu and Kashmir,278,30,4
Karnataka,260,71,10
West Bengal,213,37,7
Haryana,199,34,3
Punjab,176,14,12
Bihar,66,29,1
Odisha,60,18,1
Uttarakhand,37,9,0
Chhattisgarh,33,13,0
Himachal Pradesh,33,13,1
Assam,32,0,1
Jharkhand,27,0,2
Chandigarh,21,7,0
Ladakh,17,10,0
Andaman and Nicobar Islands,11,10,0
Puducherry,7,1,0
Goa,7,5,0
Manipur,2,1,0
Tripura,2,0,0
Meghalaya,1,0,0
Mizoram,1,0,0
Arunachal Pradesh,1,0,0
Nagaland#,0,0,0
