Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,5274,411,149
Maharashtra,1018,79,64
Tamil Nadu,690,19,7
Delhi,576,21,9
Telengana,427,35,7
Uttar Pradesh,343,26,3
Kerala,336,70,2
Rajasthan,328,21,3
Andhra Pradesh,305,5,4
Madhya Pradesh,229,0,13
Karnataka,175,25,4
Gujarat,165,25,13
Haryana,147,28,3
Jammu and Kashmir,116,4,2
West Bengal,99,13,5
Punjab,91,4,7
Odisha,42,2,1
Bihar,38,0,1
Uttarakhand,31,5,0
Assam,27,0,0
Chandigarh,18,7,0
Himachal Pradesh,18,2,1
Ladakh,14,10,0
Chhattisgarh,10,9,0
Andaman and Nicobar Islands,10,0,0
Goa,7,0,0
Puducherry,5,1,0
Jharkhand,4,0,0
Manipur,2,0,0
Mizoram,1,0,0
Tripura,1,0,0
Arunachal Pradesh,1,0,0
