Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,13835,1767,452
Maharashtra,3205,300,194
Delhi,1640,51,38
Madhya Pradesh,1308,65,57
Tamil Nadu,1267,180,15
Rajasthan,1131,164,11
Gujarat,1021,74,38
Uttar Pradesh,846,74,14
Telengana,743,186,18
Andhra Pradesh,572,36,14
Kerala,395,245,3
Karnataka,353,82,13
Jammu and Kashmir,314,38,4
West Bengal,255,51,10
Haryana,205,43,3
Punjab,186,27,13
Bihar,83,37,1
Odisha,60,19,1
Uttarakhand,37,9,0
Chhattisgarh,36,23,0
Himachal Pradesh,35,16,1
Assam,35,5,1
Jharkhand,29,0,2
Chandigarh,21,9,0
Ladakh,18,14,0
Andaman and Nicobar Islands,11,10,0
Meghalaya,9,0,1
Puducherry,7,1,0
Goa,7,6,0
Tripura,2,1,0
Manipur,2,1,0
Mizoram,1,0,0
Arunachal Pradesh,1,0,0
Nagaland#,0,0,0
