Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,5865,478,169
Maharashtra,1135,117,72
Tamil Nadu,738,21,8
Delhi,669,21,9
Telengana,442,35,7
Uttar Pradesh,410,31,4
Rajasthan,383,21,3
Andhra Pradesh,348,6,4
Kerala,345,83,2
Madhya Pradesh,259,0,16
Karnataka,181,28,5
Gujarat,179,25,16
Haryana,169,29,3
Jammu and Kashmir,158,4,4
West Bengal,103,16,5
Punjab,101,4,8
Odisha,42,2,1
Bihar,39,0,1
Uttarakhand,35,5,0
Assam,28,0,0
Chandigarh,18,7,0
Himachal Pradesh,18,2,1
Ladakh,14,10,0
Jharkhand,13,0,0
Andaman and Nicobar Islands,11,0,0
Chhattisgarh,10,9,0
Goa,7,0,0
Puducherry,5,1,0
Manipur,2,1,0
Mizoram,1,0,0
Tripura,1,0,0
Arunachal Pradesh,1,0,0
