Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,6412,504,199
Maharashtra,1364,125,97
Tamil Nadu,834,21,8
Delhi,720,25,12
Rajasthan,463,21,3
Telengana,442,35,7
Uttar Pradesh,410,31,4
Kerala,357,96,2
Andhra Pradesh,348,6,4
Madhya Pradesh,259,0,16
Gujarat,241,26,17
Karnataka,181,28,5
Haryana,169,29,3
Jammu and Kashmir,158,4,4
West Bengal,116,16,5
Punjab,101,4,8
Odisha,44,2,1
Bihar,39,0,1
Uttarakhand,35,5,0
Assam,29,0,0
Chandigarh,18,7,0
Himachal Pradesh,18,2,1
Ladakh,15,10,0
Jharkhand,13,0,1
Andaman and Nicobar Islands,11,0,0
Chhattisgarh,10,9,0
Goa,7,0,0
Puducherry,5,1,0
Manipur,2,1,0
Mizoram,1,0,0
Tripura,1,0,0
Arunachal Pradesh,1,0,0
