Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,694,45,16
Maharashtra,124,1,3
Kerala,118,6,0
Karnataka,55,3,2
Telengana,44,1,0
Gujarat,43,0,3
Uttar Pradesh,41,11,0
Rajasthan,41,3,0
Delhi,36,6,1
Punjab,33,0,1
Haryana,30,11,0
Tamil Nadu,26,1,1
Madhya Pradesh,20,0,1
Jammu and Kashmir,13,1,1
Ladakh,13,0,0
Andhra Pradesh,11,1,0
West Bengal,10,0,1
Chandigarh,7,0,0
Chhattisgarh,6,0,0
Bihar,6,0,1
Uttarakhand,5,0,0
Himachal Pradesh,3,0,1
Goa,3,0,0
Odisha,2,0,0
Puducherry,1,0,0
Manipur,1,0,0
Mizoram,1,0,0
Andaman and Nicobar Islands,1,0,0
