Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,8447,765,273
Maharashtra,1761,208,127
Delhi,1069,25,19
Tamil Nadu,969,44,10
Rajasthan,700,21,3
Madhya Pradesh,564,0,36
Telengana,504,43,9
Uttar Pradesh,452,45,5
Gujarat,432,44,22
Andhra Pradesh,381,11,6
Kerala,374,142,2
Karnataka,226,37,6
Jammu and Kashmir,224,6,4
Haryana,185,29,3
Punjab,151,5,11
West Bengal,134,19,5
Bihar,64,19,1
Odisha,54,12,1
Uttarakhand,35,5,0
Himachal Pradesh,32,6,1
Assam,29,0,1
Chhattisgarh,25,10,0
Chandigarh,19,7,0
Jharkhand,17,0,1
Ladakh,15,10,0
Andaman and Nicobar Islands,11,10,0
Puducherry,7,1,0
Goa,7,5,0
Manipur,2,1,0
Tripura,2,0,0
Mizoram,1,0,0
Arunachal Pradesh,1,0,0
