Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,519,40,10
Kerala,95,4,0
Maharashtra,89,0,2
Karnataka,37,3,1
Telengana,35,1,0
Uttar Pradesh,33,11,0
Gujarat,33,0,1
Rajasthan,32,3,0
Delhi,30,6,2
Punjab,29,0,1
Haryana,28,11,0
Tamil Nadu,15,1,0
Ladakh,13,0,0
West Bengal,9,0,1
Andhra Pradesh,8,0,0
Madhya Pradesh,7,0,0
Chandigarh,7,0,0
Jammu and Kashmir,4,0,0
Uttarakhand,4,0,0
Himachal Pradesh,3,0,1
Bihar,3,0,1
Odisha,2,0,0
Puducherry,1,0,0
Manipur,1,0,0
Chhattisgarh,1,0,0
