Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,2069,156,53
Maharashtra,335,42,13
Kerala,265,25,2
Tamil Nadu,234,6,1
Delhi,219,8,4
Uttar Pradesh,113,14,2
Karnataka,110,9,3
Rajasthan,108,3,0
Telengana,107,1,3
Madhya Pradesh,99,0,6
Gujarat,87,8,7
Andhra Pradesh,86,1,1
Jammu and Kashmir,62,2,2
West Bengal,53,6,3
Punjab,46,1,4
Haryana,43,21,0
Bihar,24,0,1
Chandigarh,16,0,0
Ladakh,13,3,0
Andaman and Nicobar Islands,10,0,0
Chhattisgarh,9,2,0
Uttarakhand,7,2,0
Assam,5,0,0
Goa,5,0,0
Odisha,4,0,0
Puducherry,3,1,0
Himachal Pradesh,3,1,1
Jharkhand,1,0,0
Mizoram,1,0,0
Manipur,1,0,0
