Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,7447,643,239
Maharashtra,1574,188,110
Tamil Nadu,911,44,8
Delhi,903,25,13
Rajasthan,553,21,3
Telengana,473,43,7
Madhya Pradesh,435,0,33
Uttar Pradesh,431,32,4
Kerala,364,123,2
Andhra Pradesh,363,7,6
Gujarat,308,31,19
Karnataka,207,31,6
Jammu and Kashmir,207,6,4
Haryana,177,29,3
Punjab,132,5,11
West Bengal,116,16,5
Bihar,60,0,1
Odisha,48,2,1
Uttarakhand,35,5,0
Assam,29,0,1
Himachal Pradesh,28,6,1
Chhattisgarh,18,9,0
Chandigarh,18,7,0
Ladakh,15,10,0
Jharkhand,14,0,1
Andaman and Nicobar Islands,11,0,0
Goa,7,1,0
Puducherry,5,1,0
Manipur,2,1,0
Mizoram,1,0,0
Tripura,1,0,0
Arunachal Pradesh,1,0,0
