Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Total,907,80,19
Maharashtra,180,25,5
Kerala,176,11,0
Telengana,56,1,0
Uttar Pradesh,55,11,0
Karnataka,55,3,2
Rajasthan,54,3,0
Gujarat,45,0,3
Tamil Nadu,40,2,1
Delhi,39,6,1
Punjab,38,1,1
Haryana,33,12,0
Madhya Pradesh,30,0,2
Jammu and Kashmir,20,1,1
West Bengal,15,0,1
Andhra Pradesh,14,1,0
Ladakh,13,3,0
Bihar,9,0,1
Chandigarh,8,0,0
Chhattisgarh,6,0,0
Andaman and Nicobar Islands,6,0,0
Uttarakhand,5,0,0
Himachal Pradesh,3,0,1
Odisha,3,0,0
Goa,3,0,0
Mizoram,1,0,0
Manipur,1,0,0
Puducherry,1,0,0
